authorId,name,url
144260020,Rahim Khan,
2096342291,Ihsan Ali,
19270859,Muhammad Zakarya,
2110093615,Mushtaq Ahmad,
2113544439,Muhammad Imran,
144815269,Muhammad Shoaib,
5841926,Kranthi Varala,
1401588496,Amy Marshall-Colón,
50701878,Jacopo Cirrone,
40041668,Matthew Dakota Brooks,
41132025,Angelo V. Pasquino,
6688406,S. Léran,
5129436,Shipra Mittal,
47500008,Tara M. Rock,
34522976,Molly B Edwards,
46814411,Grace J. Kim,
5261795,Sandrine Ruffel,
1924135577,W. Mccombie,
1695878,D. Shasha,
40021407,G. Coruzzi,
13433274,E. Sukhova,
2679368,V. Sukhov,
48165910,Avishai Karny,
150036858,Assaf Zinger,
8674953,Ashima Kajal,
1402464137,Janna Shainsky‐Roitman,
2809291,Avi Schroeder,
89668649,T. Tamirat,
40225007,S. M. Pedersen,
48375399,K. Lind,
2071239986,Richard Charles Andrew,
2798354,R. Malekian,
3145295,D. C. Bogatinoska,
51295084,M. Aboutalebi,
1401923045,Alfonso F. Torres-Rua,
38543517,M. McKee,
1801018,W. Kustas,
145769781,H. Nieto,
2277817,C. Coopmans,
119624427,Mce Grafton,
91711270,I. Yule,
145492581,M. Manning,
8286742,M. S. Thilakarathna,
39463182,M. Raizada,
46192905,C. Finkenbiner,
79615655,T. Franz,
145239836,Justin Gibson,
4680655,D. Heeren,
32154996,J. Luck,
2078956182,A. V. Koshkarov,
2109429957,Hsiuhan Lexie Yang,
40369622,Jiangye Yuan,
2190549,D. Lunga,
51224901,M. Laverdiere,
32289074,A. Rose,
2474060,B. Bhaduri,
2118455207,Jiaxin Zheng,
50741247,Wencai Yang,
40627883,F. F. Pastor,
1777566,J. Chamizo,
1398356762,M. Nieto-Hidalgo,
2098761512,José Mora-Martínez,
46469323,D. Pagliari,
2286023677,Gambella F,
2298626,D. K. Sreekantha,
2351556159,Qusay F. Hassan,
144700340,M. D. Bah,
1822411,A. Hafiane,
34775571,R. Canals,
3043492,Marek Kulbacki,
2554241,J. Segen,
51919722,Wojciech Kniec,
1747826,R. Klempous,
3360806,Konrad Kluwak,
1703285,J. Nikodem,
3390638,J. Kulbacka,
46828136,Andrea Serester,
46250397,Jana Huchtkoetter,
145147353,Andreas Reinhardt,
1756400,U. Kulau,
2068286758,Tian Luo,
2115459337,Yue Dong,
48798816,Shujuan He,
2143850560,Jing Yang,
50776675,Yuming Dong,
31061003,R. Curpen,
144525454,T. Balan,
82209882,Ioan Alexandru Micloş,
82762875,Ionut Comănici,
50460444,Karim Fathallah,
48813909,Mohamed Amine Abid,
1389324388,N. Hadj-Alouane,
1679246,A. Mancini,
1721130,E. Frontoni,
1695800,P. Zingaretti,
48985294,Minghua Zhang,
2243468203,Zaiman Wang,
2472830,Xiwen Luo,
49253468,Ying Zang,
2025480309,Yang Wenwu,
103961567,Xingang He,
2248588498,Baolong Wang,
2246113119,Yizheng Dai,
9160084,Emilian Vlasceanu,
144752161,D. Popescu,
1758132,L. Ichim,
23542408,Georgios Kountios,
3108805,A. Ragkos,
2808886,T. Bournaris,
23589430,G. Papadavid,
2025627,A. Michailidis,
30996038,A. M. D. Oca,
121721410,L. Arreola,
144052709,A. Flores,
2210364444,J. Sanchez,
2286141318,Gerardo Flores,
51927678,Prachin Jain,
34610600,Sanat Sarangi,
144642041,Prakruti V. Bhatt,
2389407637,Srinivasu Pappula,
1849511,Petra Bosilj,
1793716,T. Duckett,
2763480,Grzegorz Cielniak,
2057115357,K. Aparna,
144885217,P. Supriya,
46221966,Zhaoyu Zhai,
1402134750,José-Fernán Martínez-Ortega,
36682402,Néstor Lucas Martínez,
1401619425,Jesús Rodríguez-Molina,
114605005,Andre Temprilho,
144081771,Luís Nóbrega,
1718252,P. Pedreiras,
145493545,Pedro Gonçalves,
2110832365,Sergio Silva,
1399074460,J. I. Vasquez-Gomez,
1403834299,J. Herrera-Lozada,
1403977304,M. Olguín-Carbajal,
7784073,Alka Singhal,
82910660,R. Kohli,
83123514,Cheshta Dhamija,
2305460138,Nishant Singh,
2538810,F. Liebisch,
25335448,S. Bhandari,
40391090,A. Raheja,
51247390,M. Chaichi,
49414107,R. Green,
2061058135,Dat Do,
49903720,Frank Pham,
51249450,M. Ansari,
2069457581,Joseph Wolf,
49784895,Tristan Sherman,
51238422,Antonio Espinas,
1969406,C. Kamienski,
1792386,J. Soininen,
3233791,Markus Taumberger,
145687175,S. Fernandes,
12160822,A. Toscano,
2883114,T. S. Cinotti,
3196763,R. Maia,
2082383776,A. T. Neto,
52041783,M. Luculescu,
2285447697,Luciana Cristea,
31220114,S. Zamfira,
40601754,A. L. Boer,
15289384,Gaëlle Daniele,
4547754,F. Lafay,
40612250,C. Pelosi,
1897363,C. Fritsch,
4023859,E. Vulliet,
3064309,J. Treboux,
1722226,D. Genoud,
46670194,Angelina G. Perrotti,
2387564017,Eline van Asperen,
2373886,A. Bannari,
46812094,Yannick Lanthier,
3364814,Supattra Puttinaovarat,
3343817,Paramate Horkaew,
88916698,Brittani Edge,
2487796,Margarita Velandia,
39921694,C. Boyer,
144573952,J. Larson,
20883446,D. Lambert,
36533476,R. Roberts,
2070626183,Bradley Wilson,
3366511,M. Buschermohle,
4281393,B. English,
2506061,R. Rejesus,
5600575,L. Falconer,
51236939,Maoling Yan,
3078878,Pingzeng Liu,
2052575318,Fujiang Wen,
145657506,Chao Zhang,
145638785,Rui Zhao,
2109955565,Weijie Chen,
2151060186,Xuefei Liu,
2006403886,Yuqi Liu,
3414541,Philipp Lottes,
3350812,Jens Behley,
26351048,Andres Milioto,
1722062,C. Stachniss,
51165379,F. Rodrigues,
3381293,Gerald Blasch,
2233371,P. Defourny,
1401384896,J. I. Ortiz-Monasterio,
86904928,U. Schulthess,
143642265,J. Taylor,
2542704,B. Gérard,
2546046,M. L. Rilwani,
1867031,I. Ikhuoria,
145802803,M. D. Gomez,
6425479,A. Goijman,
6392236,J. Coda,
88838374,V. Serafini,
86916684,J. Priotto,
2358654,Bo-Jun Liu,
2109937236,Maneesh Kumar,
1492041928,A. Rai,
2004652098,Preeti Singh,
122424836,N. Singh,
15313344,E. Polledri,
88647365,R. Mercadante,
6092775,S. Fustinoni,
25884999,Nived Chebrolu,
2228395,T. Läbe,
1405113747,Franks González-Landero,
2487386,E. Kayacan,
152781025,Zhong-Zhong Zhang,
1733356,Girish V. Chowdhary,
51230388,Haneen Shehadeh,
46663067,W. Mardini,
1724614,M. B. Yassein,
51230681,Doaa Habeeb Allah,
51227765,Waed Bani Yaseen,
145357985,V. M. Ngo,
1388632905,Nhien-An Le-Khac,
144549246,Mohand Tahar Kechadi,
2136076,A. Marçal,
2286761722,Ph. D Mr. I. Gobi,
2286478278,Dr. D Research Scholar,
2286761720,Professor Vimal Kumar,
40351823,R. Fernández,
144745089,H. Montes,
1908488,J. Surdilovic,
1411269076,Dragojlub Surdilovic,
1403763403,P. González-De-Santos,
2289532,M. Armada,
51304231,Sierra N. Young,
2751064,J. Peschel,
100588660,С. О. Крамаров,
79051212,Сергей Викторович Соколов,
2095672127,Евгений Николаевич Тищенко,
150372844,Ольга Ивановна Соколова,
12742150,M. Coombes,
2107994836,Cunjia Liu,
52449437,C. Meng,
2151302304,Guangyu Li,
2152478524,Feng Xu,
2146361450,Jianfei Li,
2112912016,Tao Hu,
2065702602,Kun Qi,
11979536,Yi’na Hu,
51141565,Olavo J. Luiz,
51139501,V. Weber,
2772554,M. Cagnin,
2072353393,S. R. Medeiros,
2055492464,Rodrigo da Costa Gomes,
14796903,L. C. Souza,
1778647,D. M. B. Paiva,
1403782342,J. González-Piqueras,
153452072,S. Sánchez,
51167685,J. Villodre,
83253405,H. López,
9703385,A. Calera,
1403901633,D. Hernández-López,
145775436,J. M. Sánchez,
51929702,J. E. Flatt,
3060532,E. Dai,
31898864,Aravind Venkitasubramony,
1708044,A. Gasiewski,
1936127,M. Stachura,
48792222,Jack Elston,
3409018,Gaofei Yin,
2979534,Ainong Li,
3305011,A. Maurya,
2108468226,Dharmendra Singh,
153866018,K. Singh,
30117692,Truong Thu Huong,
30866714,Nguyen Huu Thanh,
2070553189,Nguyen Thi Van,
2305723881,Nguyen Tien Dat,
26633278,N. Long,
2054944480,Alan Marshall,
3220126,B. C. Santos,
3345035,C. Nobre,
1734430,Luis E. Zárate,
22361366,A. Aizebeokhai,
1753506519,U. Okenwa,
22379386,K. Oyeyemi,
39120566,O. T. Kayode,
100690871,G. Adeyemi,
33019056,É. Leão,
151456702,Vitor Vasconcelos,
144045118,P. Portugal,
1798678,C. Montez,
145146722,R. Moraes,
143919790,Gülsen Taskin Kaya,
1398132137,J. Lopez-Sanchez,
2144904956,Chang-An Liu,
46842442,Zhongxin Chen,
3480163,Pengyu Hao,
50754228,Kun Li,
2108386297,Xiaochen Wang,
9195524,Jun En Low,
143997196,Luke Thura Soe Win,
2108471065,Jiong Le Lee,
1719944,G. Soh,
144063720,S. Foong,
84350015,K. Das,
145473890,Jitendra Singh,
1771491,J. Hazra,
1694760,S. Kalyanaraman,
2155660206,Jun Zhang,
9271737,Hilton Tnunay,
48585822,Chunyan Wang,
143628257,X. Lyu,
1813929,Z. Ding,
8766989,S. B. Sulistyo,
2118290611,Di Wu,
1809986,W. L. Woo,
34614805,S. Dlay,
143701487,Bin Gao,
46255596,Ali Ahmad,
1921908,R. Guyonneau,
2083742383,F. Mercier,
92986767,É. Belin,
2288929,W. Winterhalter,
2601599,F. Fleckenstein,
2573148,C. Dornhege,
2106871731,Wolfram Burgard,
2113256397,Sean Mitchell,
52473377,A. Weersink,
96176899,B. Erickson,
1859364,Sándor Ács,
11815194,J. Kovács,
51055821,Ádám Szalóki,
1835984,B. Kádár,
2444830,Shahabuddin Muhammad,
20586096,Nazeeruddin Mohammad,
1423434950,A. Bashar,
2110261903,M. Khan,
9669918,R. Näsi,
3486632,N. Viljanen,
2643243,J. Kaivosoja,
51166043,K. Alhonoja,
35682469,T. Hakala,
9653495,L. Markelin,
3014621,E. Honkavaara,
51206770,Symphorien Karl Yoki Donzia,
33786068,Haeng-Kon Kim,
3149535,H. Hwang,
2632787,Manlio Bacco,
145499433,A. Berton,
144875926,A. Gotta,
1728002,L. Caviglione,
145936882,F. Cassel,
2109852790,Shankar Sharma,
2150597522,Li Song,
145121119,Jin Wang,
2337868280,Quan Gao,
4230667,Xiaojian Ma,
2108953630,Yuwei Wang,
2118392604,Y. Zhang,
5432134,Hang Xun,
144246686,Xi Yao,
144302687,F. Tang,
2630812,M. Poggio,
144550913,P. Roudier,
47167758,M. Blaschek,
144540538,C. Hedley,
15000440,A. McCloskey,
98093387,A. Farooque,
115542648,Melanie Bos,
49143558,F. Abbas,
1403123689,C. Chan-Halbrendt,
144442843,B. Sipes,
12020126,Yaqian Ma,
2152970770,Menghan Liu,
2069451374,Ting Tan,
11243921,Aiping Yan,
46846015,Lan Guo,
2052123380,Kun Jiang,
65856315,Changheng Tan,
39553427,Yiqun Wan,
7712493,S. Aglawe,
6016152,Kalyani M. Barbadikar,
4161641,S. Mangrauthia,
2888591,M. Madhav,
121751523,M. S. Garrido,
151394107,M. C. de Lacy,
143797103,M. Ramos,
2037373385,M. J. Borque,
151138980,M. Susi,
