authorId,name,url,paperCount,citationCount
145147353,Andreas Reinhardt,https://www.semanticscholar.org/author/145147353,114,1871
2334062359,Афанасьев Р.А.,https://www.semanticscholar.org/author/2334062359,8,0
29371562,Maria Jeseca C. Baculo,https://www.semanticscholar.org/author/29371562,7,41
32194191,A. Robson,https://www.semanticscholar.org/author/32194191,71,1369
48727796,Radhika Ravi,https://www.semanticscholar.org/author/48727796,30,538
9691810,Yun-Jou Lin,https://www.semanticscholar.org/author/9691810,26,331
41017066,Magdy Elbahnasawy,https://www.semanticscholar.org/author/41017066,21,217
12928439,Tamer Shamseldin,https://www.semanticscholar.org/author/12928439,23,217
1883510,A. Habib,https://www.semanticscholar.org/author/1883510,134,2379
145499433,A. Berton,https://www.semanticscholar.org/author/145499433,41,1582
3235263,Ciro Potena,https://www.semanticscholar.org/author/3235263,21,770
31061003,R. Curpen,https://www.semanticscholar.org/author/31061003,15,59
144525454,T. Balan,https://www.semanticscholar.org/author/144525454,52,273
82209882,Ioan Alexandru Micloş,https://www.semanticscholar.org/author/82209882,2,16
82762875,Ionut Comănici,https://www.semanticscholar.org/author/82762875,3,16
1909719357,Ratnesh Kumar,https://www.semanticscholar.org/author/1909719357,87,1248
144869987,Liang Wan,https://www.semanticscholar.org/author/144869987,24,1066
46702713,Huihui Zhang,https://www.semanticscholar.org/author/46702713,72,2299
145435134,R. Naresh,https://www.semanticscholar.org/author/145435134,226,1544
50762136,Haiyan Cen,https://www.semanticscholar.org/author/50762136,104,4872
32350227,N. C. Mahajan,https://www.semanticscholar.org/author/32350227,37,205
51440675,Jiangpeng Zhu,https://www.semanticscholar.org/author/51440675,15,683
21114514,Wenxin Yin,https://www.semanticscholar.org/author/21114514,9,465
48058743,A. Venezia,https://www.semanticscholar.org/author/48058743,27,442
2110588610,Weikang Wu,https://www.semanticscholar.org/author/2110588610,120,2905
40464080,A. Marosi,https://www.semanticscholar.org/author/40464080,39,314
1845908624,Attila Farkas,https://www.semanticscholar.org/author/1845908624,11,216
144752083,R. Lovas,https://www.semanticscholar.org/author/144752083,101,779
143799905,Ahmed K. F. Khattab,https://www.semanticscholar.org/author/143799905,118,1630
35993396,V. Sagan,https://www.semanticscholar.org/author/35993396,93,4283
2053096252,Ricardo Reis,https://www.semanticscholar.org/author/2053096252,5,99
39120566,O. T. Kayode,https://www.semanticscholar.org/author/39120566,26,284
1398294938,I. García-Magariño,https://www.semanticscholar.org/author/1398294938,162,2153
2107994836,Cunjia Liu,https://www.semanticscholar.org/author/2107994836,127,3411
2608782,D. Kurup,https://www.semanticscholar.org/author/2608782,102,875
153423509,L. Santos,https://www.semanticscholar.org/author/153423509,21,433
34993365,I. Herrmann,https://www.semanticscholar.org/author/34993365,49,1943
40910303,S. Vosberg,https://www.semanticscholar.org/author/40910303,4,246
143611766,Chunjiang Zhao,https://www.semanticscholar.org/author/143611766,267,7595
9160084,Emilian Vlasceanu,https://www.semanticscholar.org/author/9160084,9,27
89413894,D. Gobbett,https://www.semanticscholar.org/author/89413894,45,1287
2082383776,A. T. Neto,https://www.semanticscholar.org/author/2082383776,13,639
39916985,S. Conley,https://www.semanticscholar.org/author/39916985,172,4044
35146915,P. Townsend,https://www.semanticscholar.org/author/35146915,260,12561
145890135,Chong Xu,https://www.semanticscholar.org/author/145890135,5,35
1393055706,G. O. Mayrink,https://www.semanticscholar.org/author/1393055706,4,18
143928161,D. Valente,https://www.semanticscholar.org/author/143928161,64,750
81449102,D. M. Queiroz,https://www.semanticscholar.org/author/81449102,137,1126
41329689,F. Pinto,https://www.semanticscholar.org/author/41329689,103,974
1739594,Wenjiang Huang,https://www.semanticscholar.org/author/1739594,401,11446
11177816,R. Teófilo,https://www.semanticscholar.org/author/11177816,87,2960
31680109,C. Mendenhall,https://www.semanticscholar.org/author/31680109,39,2046
2058991419,A. Wrona,https://www.semanticscholar.org/author/2058991419,17,73
