sourcePaperId,targetPaperId
21a8aaceb8984952950f3ebdd4bfd445813419c8,f4a3994b292292cd887295bcb5c42e70e9ed9708
21a8aaceb8984952950f3ebdd4bfd445813419c8,86277cad6c577bc540c7ce45c6c85ec73211c073
21a8aaceb8984952950f3ebdd4bfd445813419c8,b659559bc914765f7fcfe9a90f44275752fc3109
21a8aaceb8984952950f3ebdd4bfd445813419c8,6ddc5ed55f64406deef4055aa88c9dc3fa57ddcf
21a8aaceb8984952950f3ebdd4bfd445813419c8,c9e8480c15e59ce896ada08b40bc3935b5b113b9
21a8aaceb8984952950f3ebdd4bfd445813419c8,4ecc2d0d08a6a1eb0a8bdf6e2239b6bc8ec0a932
21a8aaceb8984952950f3ebdd4bfd445813419c8,8a9a1713e58a8d2646109a272cdf60ba86cc8765
21a8aaceb8984952950f3ebdd4bfd445813419c8,0173b97cb7f03ba246eb6e9f479e97373ca6984c
21a8aaceb8984952950f3ebdd4bfd445813419c8,b0fc67d61ffb9720baf82b346d26a5d4eb5cabe2
21a8aaceb8984952950f3ebdd4bfd445813419c8,d67a686aa7faaefd81b688879e64a85c3120e161
21a8aaceb8984952950f3ebdd4bfd445813419c8,6db31beb7dc7bc871cee838e0c2e56b04dbc03c9
21a8aaceb8984952950f3ebdd4bfd445813419c8,6f8d3fe04cae4ecaec66524f2f925e5e753464bc
21a8aaceb8984952950f3ebdd4bfd445813419c8,eb0814ddc284c3fa17485a001d8dab5e57c7e432
21a8aaceb8984952950f3ebdd4bfd445813419c8,307b200ac1e0a59daf564cb578449bf396ab6072
21a8aaceb8984952950f3ebdd4bfd445813419c8,3e049bc0bf9d06c14648f5a36036b8af7628a4ce
21a8aaceb8984952950f3ebdd4bfd445813419c8,ac2844881ce41f569b2f0354699fa769c8ea69a6
21a8aaceb8984952950f3ebdd4bfd445813419c8,982b955c900b04e9da64e3b39422690c13d6b94f
21a8aaceb8984952950f3ebdd4bfd445813419c8,43134aac4041403aa659f4fc64961a4d6aef3fbb
21a8aaceb8984952950f3ebdd4bfd445813419c8,73c05e5eea3dd3d18ba6d4780a0d01fc5597e544
21a8aaceb8984952950f3ebdd4bfd445813419c8,10cebf9bd1b737c48869c7e90abda904d43cc7e7
21a8aaceb8984952950f3ebdd4bfd445813419c8,69230be609fa67df2aa8c4a5fdbf80d2f564a22e
21a8aaceb8984952950f3ebdd4bfd445813419c8,dab703d3782ac89e80ac7cf74b8929c6719406c0
21a8aaceb8984952950f3ebdd4bfd445813419c8,5f624e72402412061a8af44c52c12d203e6772a7
21a8aaceb8984952950f3ebdd4bfd445813419c8,b695e966b7d8fb2b7d4cc2cd1e6954b7f85cc724
21a8aaceb8984952950f3ebdd4bfd445813419c8,912e6bed0c262ca12591301220c784ed829f0e40
21a8aaceb8984952950f3ebdd4bfd445813419c8,2a5bec76ca1c53ac9463b203b4e5e994959b6f82
21a8aaceb8984952950f3ebdd4bfd445813419c8,045310b06e8a3983a363a118cc9dcc3f292970b4
21a8aaceb8984952950f3ebdd4bfd445813419c8,8929829a353062ca55dbc6bc64ae5411456a83b7
21a8aaceb8984952950f3ebdd4bfd445813419c8,fb2f60fe0fe2874e5cbf927a2556d719c32eac29
21a8aaceb8984952950f3ebdd4bfd445813419c8,aa0f092bba168a62cc913d027a4a892cac3e8e94
21a8aaceb8984952950f3ebdd4bfd445813419c8,7ad0512c0c89c14b1dc2eaac90f4f8cdcaddcd0c
166355519196388bfc13099f98a5528bcd040845,a6ae2cc9aeae8432923654456ec9a0dc99cbd25b
166355519196388bfc13099f98a5528bcd040845,402ee555759a5395b02f9c440cb7f2c70923a5a3
166355519196388bfc13099f98a5528bcd040845,63505ad19dbfc86122532a7880b5c0c642f376a5
166355519196388bfc13099f98a5528bcd040845,0cb3652c666b7543f9d377cf3f79ed420efa5947
166355519196388bfc13099f98a5528bcd040845,fe583eae7d388db0466b455cee579744c9686d9d
166355519196388bfc13099f98a5528bcd040845,4d74f7afa5f76399f3444b687e79a2549d34569b
166355519196388bfc13099f98a5528bcd040845,ca26e27de601999dd60284f201727d1b46725f6a
166355519196388bfc13099f98a5528bcd040845,79b84432a6f7f91926f3695a64f91225f343d697
166355519196388bfc13099f98a5528bcd040845,1dfc29115955d100124523e74fc273219a17db0b
166355519196388bfc13099f98a5528bcd040845,cfbc10868b9a9c0b98521c68920b1657426af90c
166355519196388bfc13099f98a5528bcd040845,3e2780df51017956e81f700ffb0225785c3ba90c
166355519196388bfc13099f98a5528bcd040845,518ddc07d6b38e809e14decb4ce4b90882bf4b7a
166355519196388bfc13099f98a5528bcd040845,d6b96b1622216f97c01a90c56c722706c6258962
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,ffca419df301880e14de7effed557e5d88d05c18
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,a1ce92dc0a914463509c406d8e70b2971fb99123
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,7b5e0059150c3e630bd3e9fc8395b730390b59dd
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,d9c92f1581009b0dcd40311fc027dc0799fc2558
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,5791f0bb027d26b08850a16bb1c44ad50567b509
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,449cac5bdb0b0d131335520956f758265c2efacd
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,ad624f7fbb25290667d2422bcaa17aa85357a218
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,24a3520784f389f63014a947cb74ca194675bade
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,b7ad7b46361f830de2905b444d4fac6aaa6b6d7d
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,e1ac925108c1fb09a063c8eeb1745da2cfd7ba96
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,9746db3ffc6f5207588d996ae2fcf03964a3b1e1
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,b16457392e25f9677dfe1a0140187c0ce9ddd90c
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,6c535cb698e96085095f9c22df3f01e2efd5e4e6
